index,total_return,annual_return,annual_volatility,sharpe,max_drawdown,win_rate
Walk-Forward Selected Strategy,0.49408562235552256,0.04585019753166564,0.08181807996805399,0.56039200076032,-0.14551684858032066,0.07576428887904298
Buy & Hold,0.1619545111008338,0.016900680155557568,0.14384735626884645,0.11749037725775575,-0.28863998742594643,0.4971200708905627
