index,japan_date,target_nikkei_open_to_close,us_date,feature_sp500_open_to_close
1,2010-01-05,-0.003508611462435862,2010-01-04,0.014714776436941301
2,2010-01-06,0.002044940359249736,2010-01-05,0.0034078940150457093
3,2010-01-07,-0.005686611319261847,2010-01-06,0.0012591715844043616
4,2010-01-08,0.005121378795413856,2010-01-07,0.0047699242097718475
5,2010-01-12,0.010100882794724209,2010-01-11,0.0008901004974166682
6,2010-01-13,-0.005599583593105195,2010-01-12,-0.006635793970859671
7,2010-01-14,0.012025285718324064,2010-01-13,0.00735946636006779
8,2010-01-15,0.005925347880052501,2010-01-14,0.0024264254383745687
9,2010-01-18,-0.002987824911720116,2010-01-15,-0.01018536028356154
10,2010-01-19,-0.009379891538488727,2010-01-15,-0.01018536028356154
11,2010-01-20,-0.008988595530145749,2010-01-19,0.012499626599363545
12,2010-01-21,0.01528475725263534,2010-01-20,-0.008632703977432543
13,2010-01-22,-0.013934565226780382,2010-01-21,-0.019496322228388818
14,2010-01-25,0.0032811456031427433,2010-01-22,-0.02127314514383416
15,2010-01-26,-0.017215641358884093,2010-01-25,0.004009524702420109
16,2010-01-27,-0.008893040321258927,2010-01-26,-0.0033126526018085745
17,2010-01-28,0.010141833545448398,2010-01-27,0.00509190879728183
18,2010-01-29,-0.010672219062714872,2010-01-28,-0.01130429818392975
19,2010-02-01,-0.0007188172038383733,2010-01-29,-0.012633196108376654
20,2010-02-02,0.0058296468684211344,2010-02-01,0.014247200876359
21,2010-02-03,-0.0022813353504903544,2010-02-02,0.012173658884015115
22,2010-02-04,-0.007526849920093226,2010-02-03,-0.003079955402698231
23,2010-02-05,-0.010356866786415342,2010-02-04,-0.031114162359022535
24,2010-02-08,-0.005560787649928289,2010-02-05,0.001945218864940701
25,2010-02-09,0.005699327710502855,2010-02-08,-0.008230818529033956
26,2010-02-10,-0.00601236726293497,2010-02-09,0.009867328603414993
27,2010-02-12,0.0006782928284549961,2010-02-11,0.010655042055402797
28,2010-02-15,-0.008370173482674548,2010-02-12,-0.0004088864967843886
29,2010-02-16,-0.0010234698047240087,2010-02-12,-0.0004088864967843886
30,2010-02-17,0.014280097805018599,2010-02-16,0.014585814649908047
31,2010-02-18,0.001037286314479191,2010-02-17,0.0030744203041144225
32,2010-02-19,-0.020399859162728795,2010-02-18,0.007024349196412816
33,2010-02-22,0.009551421323838793,2010-02-19,0.0033288892196638997
34,2010-02-23,0.002368397985419657,2010-02-22,-0.0017927839949324342
35,2010-02-24,-0.0006193257578845923,2010-02-23,-0.011638944606361279
36,2010-02-25,-0.01502907092444794,2010-02-24,0.008531855807571098
37,2010-02-26,0.001874942630910148,2010-02-25,0.0015436700328266273
38,2010-03-01,0.00427784130461184,2010-02-26,0.0012600985216224547
39,2010-03-02,0.0022207070471567114,2010-03-01,0.009363443333481714
40,2010-03-03,0.005806331401561726,2010-03-02,0.0011638649759260211
41,2010-03-04,-0.010722896120836878,2010-03-03,-0.000509171577080747
42,2010-03-05,0.011151043818800721,2010-03-04,0.0034401812162550005
43,2010-03-08,0.004535894842339072,2010-03-05,0.012069784657300575
44,2010-03-09,3.123574522567729e-05,2010-03-08,8.782113825844817e-05
45,2010-03-10,0.0007645346228533079,2010-03-09,0.002540430772242086
46,2010-03-11,0.003477605842914455,2010-03-10,0.0047271708853806604
47,2010-03-12,-0.0024338197650448645,2010-03-11,0.0054897282346564324
48,2010-03-15,-0.004640749000055289,2010-03-12,-0.0014934061191281822
