index,total_return,annual_return,annual_volatility,sharpe,max_drawdown,win_rate
Threshold Long Short 10bps,0.6708880900121854,0.11353068928419896,0.06407714950627892,1.7717812068571197,-0.021383833548968,0.046550290939318374
Threshold Long Short 5bps,0.9314720051845589,0.14785452502689633,0.08912025065954704,1.6590452106303335,-0.06725196491182428,0.1487946799667498
Threshold Long Only 5bps,0.39027002472424965,0.07145980562932941,0.058744220214591886,1.2164567912943205,-0.0317269516355404,0.05320033250207814
Threshold Long Only 10bps,0.26261789732352914,0.05005989664476318,0.04412561420308328,1.1344861153516872,-0.01096723287719481,0.014962593516209476
Long Only,0.3771933733350328,0.06934081573135176,0.10354437157872637,0.6696724763898043,-0.13347033648782725,0.2119700748129676
Long Short,0.5405454821063185,0.09474599932256189,0.15562193669121416,0.6088216181922822,-0.20704824007995737,0.4921030756442228
Buy & Hold,0.15445610873502202,0.03054412790147243,0.15606929317524731,0.19570876038488233,-0.2886399874259443,0.49542809642560265
